radius depth density Vpv Vph Vsv Vsh eta Q-mu Q-kappa
3788.7 2582.3 5.41395 13.49426 13.49426 7.19529 7.19529 1.00000 312 57823
3738.7 2632.3 5.43883 13.55341 13.55341 7.21781 7.21781 1.00000 312 57823
3688.7 2682.3 5.46372 13.61313 13.61313 7.24048 7.24048 1.00000 312 57823
3638.7 2732.3 5.48863 13.67350 13.67350 7.26331 7.26331 1.00000 312 57823
3633 2738 5.49148 13.68042 13.68042 7.26593 7.26593 1.00000 312 57823
3633 2738 5.49148 13.68044 13.68044 7.26597 7.26597 1.00000 312 57823
3588.7 2782.3 5.51358 13.69098 13.69098 7.26563 7.26563 1.00000 312 57823
3538.7 2832.3 5.53856 13.70302 13.70302 7.26520 7.26520 1.00000 312 57823
3488.7 2882.3 5.56360 13.71522 13.71522 7.26471 7.26471 1.00000 312 57823
3483 2888 5.56646 13.71662 13.71662 7.26465 7.26465 1.00000 312 57823
3483 2888 9.90344 8.06479 8.06479 0.00000 0.00000 1.00000 0 57823
3403 2968 10.02942 8.19943 8.19943 0.00000 0.00000 1.00000 0 57823
3303 3068 10.18136 8.36024 8.36024 0.00000 0.00000 1.00000 0 57823
3203 3168 10.32727 8.51302 8.51302 0.00000 0.00000 1.00000 0 57823
3103 3268 10.46729 8.65809 8.65809 0.00000 0.00000 1.00000 0 57823
3003 3368 10.60153 8.79577 8.79577 0.00000 0.00000 1.00000 0 57823
2903 3468 10.73013 8.92636 8.92636 0.00000 0.00000 1.00000 0 57823
2803 3568 10.85322 9.05019 9.05019 0.00000 0.00000 1.00000 0 57823
2703 3668 10.97092 9.16756 9.16756 0.00000 0.00000 1.00000 0 57823
2603 3768 11.08336 9.27880 9.27880 0.00000 0.00000 1.00000 0 57823
2503 3868 11.19067 9.38422 9.38422 0.00000 0.00000 1.00000 0 57823
2403 3968 11.29298 9.48413 9.48413 0.00000 0.00000 1.00000 0 57823
2303 4068 11.39042 9.57885 9.57885 0.00000 0.00000 1.00000 0 57823
2224.5 4146.5 11.46358 9.64977 9.64977 0.00000 0.00000 1.00000 0 57823
2203 4168 11.48311 9.66869 9.66869 0.00000 0.00000 1.00000 0 57823
2103 4268 11.57119 9.75397 9.75397 0.00000 0.00000 1.00000 0 57823
2003 4368 11.65478 9.83500 9.83500 0.00000 0.00000 1.00000 0 57823
1903 4468 11.73401 9.91210 9.91210 0.00000 0.00000 1.00000 0 57823
1803 4568 11.80900 9.98558 9.98558 0.00000 0.00000 1.00000 0 57823
1703 4668 11.87989 10.05576 10.05576 0.00000 0.00000 1.00000 0 57823
1603 4768 11.94681 10.12295 10.12295 0.00000 0.00000 1.00000 0 57823
1503 4868 12.00988 10.18747 10.18747 0.00000 0.00000 1.00000 0 57823
1403 4968 12.06923 10.24963 10.24963 0.00000 0.00000 1.00000 0 57823
1303 5068 12.12499 10.30975 10.30975 0.00000 0.00000 1.00000 0 57823
1224.5 5146.5 12.16633 10.35572 10.35572 0.00000 0.00000 1.00000 0 57823
1224.5 5146.5 12.76361 11.02826 11.02826 3.50431 3.50431 1.00000 84.6 1327.7
1220.1 5150.9 12.76595 11.02994 11.02994 3.50549 3.50549 1.00000 84.6 1327.7
1203 5168 12.77495 11.03642 11.03642 3.51002 3.51002 1.00000 84.6 1327.7
1103 5268 12.82503 11.07249 11.07249 3.53522 3.53522 1.00000 84.6 1327.7
1003 5368 12.87076 11.10541 11.10541 3.55823 3.55823 1.00000 84.6 1327.7
903 5468 12.91213 11.13520 11.13520 3.57905 3.57905 1.00000 84.6 1327.7
803 5568 12.94914 11.16186 11.16186 3.59767 3.59767 1.00000 84.6 1327.7
703 5668 12.98181 11.18537 11.18537 3.61411 3.61411 1.00000 84.6 1327.7
603 5768 13.01011 11.20576 11.20576 3.62835 3.62835 1.00000 84.6 1327.7
503 5868 13.03406 11.22300 11.22300 3.64041 3.64041 1.00000 84.6 1327.7
403 5968 13.05366 11.23711 11.23711 3.65027 3.65027 1.00000 84.6 1327.7
303 6068 13.06890 11.24809 11.24809 3.65794 3.65794 1.00000 84.6 1327.7
203 6168 13.07979 11.25593 11.25593 3.66342 3.66342 1.00000 84.6 1327.7
103 6268 13.08632 11.26063 11.26063 3.66670 3.66670 1.00000 84.6 1327.7
3 6368 13.08850 11.26220 11.26220 3.66780 3.66780 1.00000 84.6 1327.7
